Sku,Quantity
0055702-A,12
0055703-A,129
0055705-A,2
0055840-A,222
0055844-A,15
0055845-A,8
0055848-A,30
0055852-A,22
0055853-A,15
0055854-A,7
0055855-A,11
0055857-A,9
0055858-A,5
0055862-A,12
0055865-A,11
0055866-A,9
0055868-A,25
0055869-A,26
0055873-A,10
0055875-A,9
0055877-A,8
0055879-A,21
0055880-A,12
0055881-A,8
0055883-A,33
0055884-A,48
0055885-A,26
0055886-A,7
0055887-A,18
0055888-A,16
0055894-A,4
0055895-A,5
0055896-A,9
0055897-A,8
0055898-A,28
0055901-A,10
0055910-A,8
0055915-A,1
0055916-A,7
0055917-A,8
0055919-A,13
0055920-A,7
0055923-A,8
0055925-A,3
0055926-A,10
0055949-A,4
0055950-A,3
0055951-A,9
0055952-A,10
0055958-A,7
0055959-A,6
0055961-A,16
0055962-A,16
0055963-A,5
0055964-A,6
0055968-A,12
0055969-A,12
0055970-A,5
0055971-A,9
0055972-A,7
0055973-A,7
0055975-A,4
0055976-A,2
0055977-A,2
0055978-A,8
0055980-A,3
0055981-A,3
0055982-A,7
0055983-A,6
0055985-A,4
0055986-A,5
0055987-A,6
0055988-A,14
0055990-A,2
0055991-A,3
0055992-A,14
0056016-A,51
0056017-A,47
0056018-A,14
0056019-A,26
0056020-A,24
0056031-A,7
0056032-A,8
0056037-A,2
0056038-A,7
0056040-A,6
0056041-A,1
0056043-A,4
0056044-A,13
0056045-A,22
0056047-A,11
0056048-A,10
0056111-A,32
0056114-A,2263
0056117-A,275
0056118-A,18
0056119-A,18
0056120-A,17
0056165-A,18
0056200-A,1195
0056208-A,3402
0056229-A,40
0056231-A,7
0056251-A,162
0056266-A,28
0056268-A,46
0056269-A,24
0056272-A,155
0056273-A,64
0056453-A,99
0056500-A,5
0056501-A,4
0056502-A,10
0056505-A,188
0056507-A,131
0056510-A,9
0056562-A,88
0056564-A,13
0056565-A,67
0056566-A,7
0056567-A,102
0056573-A,80
0056575-A,56
0056577-A,9
0056597-A,3366
0056721-X,243
0056841-A,73
0056842-A,11
0056846-A,58
0056847-A,20
0056895-A,215
0056929-A,13
0056930-A,27
0056984-A,133
0057000-A,45
0057001-A,54
0057002-A,28
0057003-A,12
0057005-A,13
0057006-A,12
0057009-A,2
0057013-A,9
0057014-A,25
0057108-A,115
0057161-A,43
0057163-A,79
0057165-A,77
0057168-A,64
0057169-A,44
0057171-A,4
0057193-A,8
0057194-A,8
0057196-A,22
0057197-A,127
0057217-A,24
0057218-A,1
0057219-A,4
0057523-A,7
0057524-A,115
0057525-A,5
0057527-A,82
0057528-A,3
0057530-A,5
0057531-A,2
0057537-A,8
0057540-A,40
0057541-A,7
0057542-A,29
0057602-A,78
0057603-A,20
0057604-A,80
0057605-A,136
0057607-A,15
0057608-A,22
0057609-A,175
0057626-A,5
0057627-A,10
0057630-A,18
0057633-A,18
0057741-A,12
0057745-A,12
0057799-A,7
0057832-A,114
0057852-A,553
0058036-A,282
0058122-A,16
0058123-A,22
0058126-A,23
0058140-A,132
0058141-A,614
0058142-A,12
0058180-A,1247
0058334-A,31
0058402-A,144
0058409-A,30
0058508-A,2
0058509-A,2
0058512-A,8
0058513-A,5
0058514-A,17
0058516-A,9
0058517-A,11
0058518-A,6
0058521-A,1
0058523-A,2
0058528-A,55
0058529-A,27
0058540-A,3
0058541-A,2
0058542-A,4
0058544-A,16
0058545-A,2
0058546-A,2
0058547-A,7
0058548-A,5
0058627-A,1043
0058659-A,70
0058674-A,79
0058675-A,100
0058682-A,100
0058684-A,44
0058685-A,219
0058688-A,6
0058698-A,35
0058710-A,29
0058711-A,19
0058716-A,7
0058718-A,9
0058728-A,15
0058729-A,23
0058730-A,10
0058731-A,32
0058741-A,4
0058747-A,1
0058748-A,7
0058749-A,35
0058771-A,99
0058793-A,91
0058794-A,41
0058825-A,18
0058826-A,24
0058926-A,146
0058927-A,439
0058954-A,16
0058981-A,13
0058986-A,234
0058990-A,17829
0058991-A,18778
0058992-A,2748
0058993-A,132
0058999-A,218
0059053-A,209
0059055-A,3727
0059058-A,1468
0059059-A,223
0059063-A,2
0059075-A,13
0059079-A,34
0059080-A,38
0059081-A,8
0059082-A,8
0059087-A,56
0059088-A,14
0059089-A,22
0059091-A,45
0059092-A,35
0059095-A,92
0059096-A,175
0059102-A,171
0059106-A,10
0059107-A,329
0059108-A,10
0059109-A,357
0059112-A,73
0059113-A,45
0059114-A,19
0059130-A,33
0059134-A,91
0059136-A,56
0059149-A,31
0059171-A,368
0059176-A,75
0059183-A,20
0059188-A,33
0059189-A,215
0059194-A,266
0059195-A,91
0059196-A,188
0059197-A,11
0059198-A,1449
0059199-A,115
0059205-A,146
0059206-A,253
0059207-A,397
0059208-A,557
0059209-A,230
0059217-A,368
0059218-A,7
0059219-A,278
0059225-A,284
0059227-A,186
0059228-A,74
0059229-A,42
0059230-A,9
0059231-A,23
0059233-A,1355
0059235-A,494
0059236-A,69
0059237-A,70
0059243-A,182
0059244-A,103
0059248-A,22
0059249-A,22
0059251-A,10
0059252-A,10
0059256-A,35
0059270-A,70
0059284-A,31
0059311-A,91
0059312-A,49
0059313-A,336
0059314-A,45
0059317-A,227
0059319-A,118
0059322-A,328
0059323-A,501
0059325-A,62
0059326-A,649
0059327-A,4
0059329-A,16
0059337-A,211
0059343-A,286
0059344-A,144
0059345-A,17
0059346-A,5
0059347-A,5
0059351-A,4
0059352-A,5
0059353-A,33
0059354-A,86
0059355-A,30
0059356-A,30
0059357-A,33
0059360-A,149
0059362-A,430
0059363-A,11
0059364-A,76
0059365-A,81
0059368-A,16
0059371-A,327
0059373-A,16
0059375-A,29
0059376-A,5
0059377-A,51
0059378-A,1
0059379-A,15
0059380-A,8
0059382-A,58
0059383-A,310
0059386-A,4
0059387-A,6
0059388-A,4
0059389-A,6
0059397-A,31
0059398-A,18
0059399-A,20
0059401-A,6
0059402-A,104
0059404-A,7
0059405-A,23
0059406-A,245
0059455-A,371
0059456-A,110
0059458-A,16
0059459-A,24
0059460-A,23
0059461-A,29
0059462-A,10
0059463-A,8
0059464-A,26
0059465-A,19
0059466-A,16
0059470-A,22
0059471-A,23
0059472-A,375
0059474-A,13
0059478-A,10
0059479-A,19
0059482-A,78
0059483-A,7
0059484-A,11
0059485-A,3
0059488-A,16
0059489-A,26
0059491-A,34
0059501-A,29
0059502-A,29
0059503-A,35
0059504-A,36
0059505-A,253
0059506-A,255
0059507-A,29
0059508-A,29
0059509-A,14
0059510-A,14
0059511-A,21
0059512-A,21
0059513-A,20
0059514-A,65
0059515-A,10
0059516-A,9
0059517-A,43
0059518-A,27
0059519-A,27
0059520-A,14
0059521-A,40
0059523-A,9
0059524-A,8
0059528-A,6
0059537-A,35
0059538-A,15
0059542-A,32
0059544-A,31
0059547-A,12
0059548-A,7
0059553-A,49
0059556-A,24
0059557-A,26
0059559-A,38
0059560-A,39
0059561-A,12
0059564-A,23
0059568-A,28
0059569-A,31
0059570-A,24
0059571-A,24
0059572-A,27
0059573-A,27
0059583-A,70
0059584-A,71
0059585-A,13
0059591-A,30
0059592-A,30
0059699-A,296
0059703-A,140
0059715-A,45
0059718-A,43
0059719-A,17
0059722-A,2
0059723-A,10
0059736-A,20
0059737-A,25
0059738-A,9
0059809-A,158
0059810-A,137
0059811-A,116
0060055-F,20
0060055-S,208
0060095-S,60
0060283-S,49
0060284-F,41
0060284-S,80
0060705-S,100
0060709-S,114
0060710-S,113
0060713-S,92
0060723-S,105
0060737-S,178
0060800-F,20
0060800-S,93
0060802-F,17
0060802-S,45
0060896-S,125
0060983-F,11
0060983-S,68
0060988-F,10
0060988-S,164
0061007-S,119
0061010-S,54
0061011-S,11
0061013-F,34
0061013-S,153
0061015-F,36
0061015-S,227
0061041-S,67
0061042-S,27
0061602-F,26
0061602-S,94
0061652-F,29
0061652-S,106
0062203-F,25
0062203-S,201
0062206-F,16
0062206-S,74
0062223-S,81
0062236-S,182
0062262-S,132
0062264-S,143
0062266-S,80
0062300-F,27
0062300-S,137
0062927-S,87
0062996-S,149
0062997-S,39
0062998-S,31
0062999-S,32
0063001-F,72
0063001-S,108
0063005-S,76
0063006-S,42
0063013-F,55
0063017-F,14
0063017-S,117
0063022-S,176
0063023-S,120
0063025-F,64
0063025-S,168
0063028-F,21
0063028-S,78
0063130-F,141
0063130-S,315
0063133-F,106
0063133-S,501
0063135-F,121
0063135-S,173
0063137-S,121
0063138-S,52
0063139-S,185
0063140-F,60
0063140-S,198
0063141-F,28
0063141-S,51
0063142-F,64
0063142-S,284
0063149-F,65
0063149-S,276
0063157-F,46
0063157-S,199
0063159-F,47
0063159-S,133
0063163-F,29
0063163-S,51
0063164-S,133
0063165-F,267
0063165-S,530
0063182-F,110
0063182-S,225
0063187-F,19
0063187-S,91
0063189-S,55
0063190-F,44
0063190-S,194
0063201-F,7
0063201-S,123
0063207-F,25
0063207-S,57
0063213-F,28
0063213-S,106
0063216-F,30
0063216-S,89
0063230-F,23
0063230-S,110
0063238-F,4
0063238-S,123
0063240-F,30
0063240-S,156
0063378-S,85
0063403-F,57
0063403-S,262
0063404-F,72
0063404-S,297
0063405-F,25
0063405-S,115
0063406-F,16
0063406-S,78
0064007-S,173
0064009-S,75
0064010-S,156
0064023-S,148
0064100-F,25
0064541-S,114
0064637-F,43
0064637-S,431
0064660-S,63
0064679-S,68
0066130-F,61
0066130-S,124
0066166-S,147
0066229-S,87
0066507-S,62
0066516-S,62
0066517-S,62
0066591-S,241
0066592-S,20
0066593-S,58
0066598-S,122
0066607-S,91
0066613-S,150
0066615-S,135
0066623-S,219
0066627-S,124
0066629-S,125
0066634-S,123
0066650-S,40
0066651-S,70
0066652-F,23
0066652-S,62
0066660-F,14
0066660-S,52
0066674-S,91
0066675-S,135
0066676-S,68
0066680-F,88
0066680-S,383
0066684-F,7
0066684-S,36
0066685-S,389
0066692-S,157
0066695-S,146
0066696-S,104
0066702-F,72
0066702-S,262
0066721-S,68
0066731-S,65
0066744-S,40
0066753-F,31
0066753-S,64
0066754-S,51
0066760-S,51
0066793-S,138
0066800-F,51
0066800-S,262
0066804-S,75
0066806-S,41
0066808-S,242
0066809-S,94
0066813-S,66
0066820-S,117
0066830-S,30
0066831-S,70
0066850-S,86
0066854-F,16
0066854-S,93
0066855-F,10
0066855-S,186
0066857-S,64
0066870-S,125
0066871-F,41
0066871-S,207
0066878-F,35
0066878-S,114
0066879-S,152
0066885-S,21
0066892-F,18
0066892-S,116
0066896-S,87
0066897-S,24
0066902-S,156
0066931-F,8
0066931-S,86
0066965-S,147
0066968-S,67
0067108-S,183
0067206-F,8
0067206-S,44
0067207-F,12
0067207-S,113
0067432-F,32
0067432-S,101
0067434-S,93
0067459-F,25
0067459-S,87
0067568-F,13
0067569-S,72
0067570-S,42
0067571-F,12
0067571-S,67
0067577-S,46
0067581-S,239
0067587-S,149
0067623-F,18
0067623-S,66
0067730-F,102
0067730-S,174
0067736-F,3
0067736-S,100
0068410-S,139
0068414-S,146
0068415-S,136
0068422-S,81
0068428-S,140
0068490-F,40
0068490-S,211
0068502-F,11
0068502-S,78
0068511-F,8
0068512-S,35
0068513-S,94
0068575-S,110
0068872-F,89
0068872-S,189
0068875-F,7
0068875-S,103
0068947-F,12
0068947-S,113
0068956-F,16
0069789-F,15
0069789-S,46
0069790-S,41
0069791-S,51
0069792-S,70
0069793-S,32
0069794-F,15
0069794-S,430
0069795-S,36
0069796-S,18
0069797-S,119
0069798-S,103
0069802-F,49
0069802-S,195
0069803-S,186
0069804-S,68
0069805-F,43
0069805-S,71
0069806-S,77
0069807-S,17
0069809-F,45
0069809-S,154
0069816-F,57
0069816-S,58
0069817-F,12
0069817-S,117
0069818-F,3
0069818-S,103
0069819-F,4
0069819-S,144
0069841-A,4
0069843-A,185
0069844-A,67
0069845-A,9
0069941-S,31
0069942-S,7
0069957-S,2
0070167-S,205
0070192-S,419
0070260-S,581
0070272-S,80
0070277-S,171
0070284-S,586
0070285-S,453
0070288-S,1080
0070340-S,455
0070538-S,340
0070540-S,420
0070542-S,318
0070543-S,798
0070545-S,908
0070547-S,906
0070550-S,4801
0070552-S,912
0070564-S,312
0070576-S,1208
0070601-S,466
0070630-S,236
0070639-X,106
0070721-S,180
0070870-S,374
0070871-S,195
0070873-S,986
0071003-S,307
0071014-F,2
0071014-S,1023
0071017-S,338
0071021-S,519
0071022-S,1017
0071026-S,763
0071031-S,448
0071200-S,71
0071204-S,168
0071290-S,356
0071292-S,626
0071294-S,480
0071295-S,343
0071321-S,707
0071323-S,265
0071326-S,168
0071361-S,1126
0071362-S,451
0071363-S,92
0071369-S,339
0071370-S,436
0071388-S,657
0071410-S,103
0071422-S,356
0071426-S,3398
0071434-S,458
0071438-S,868
0071444-S,1012
0071445-S,2395
0071455-S,1425
0071456-S,928
0071457-S,217
0071458-S,492
0071459-S,1954
0071515-S,270
0071554-S,276
0071555-S,197
0071558-S,161
0071561-S,696
0071562-S,143
0071563-S,128
0071590-S,321
0071591-S,117
0071595-S,125
0071596-S,304
0071597-S,304
0071601-S,398
0071615-S,1008
0071652-X,285
0071760-S,137
0071762-S,107
0071767-S,333
0071786-S,621
0071790-X,322
0071794-X,106
0071795-X,65
0071796-X,85
0071797-X,311
0071799-X,5
0071800-X,150
0071802-X,216
0072813-S,492
0072916-S,296
0072917-S,452
0072919-S,395
0072924-S,3460
0072929-S,186
0072930-S,571
0073372-S,206
0073377-S,180
0073380-S,281
0073382-S,591
0073383-F,1
0073400-S,357
0073401-S,290
0073402-S,299
0073407-S,305
0073408-S,749
0073409-S,320
0073640-S,346
0073675-S,1144
0073710-S,746
0073716-S,96
0073728-S,518
0073731-S,862
0073740-S,576
0073741-S,848
0073742-S,1133
0073746-S,1148
0073749-S,453
0073758-S,1012
0073759-S,416
0073761-S,796
0073771-S,843
0074264-S,608
0074265-S,1352
0074266-S,739
0074273-S,2518
0075067-F,1
0075202-S,521
0075204-S,706
0075205-S,299
0075562-S,706
0075564-S,234
0075566-S,619
0075567-S,667
0075572-S,331
0075576-S,497
0075583-S,4366
0075585-S,636
0075623-S,563
0075903-S,1792
0075906-S,343
0076107-S,178
0076111-S,355
0076113-S,211
0076604-S,62
0076612-S,98
0076630-S,245
0076631-S,184
0076632-S,67
0076781-S,277
0076782-S,283
0076784-S,323
0076795-S,534
0076798-S,219
0076820-S,128
0077236-F,1
0077237-S,273
0077238-S,435
0077254-S,606
0077256-S,113
0077269-S,174
0077270-S,119
0077271-S,362
0077305-S,809
0077321-S,1416
0077323-S,184
0077325-S,939
0077331-S,513
0077332-S,106
0077333-S,1077
0077335-S,221
0077338-S,155
0077340-S,719
0077373-S,964
0077386-S,160
0077387-S,985
0077390-S,431
0077406-S,588
0077411-S,407
0077458-S,110
0077480-S,268
0077481-S,429
0077482-S,427
0077550-S,86
0077552-X,133
0077553-S,23
0077553-X,59
0077672-S,472
0077673-S,180
0077680-S,295
0077682-S,501
0077693-S,1706
0077701-S,321
0077710-S,504
0077711-S,660
0077714-S,666
0077717-S,1901
0077718-S,1699
0077760-S,298
0077764-S,143
0077789-S,318
0077795-S,187
0077818-S,445
0077819-S,498
0077820-S,243
0077829-S,80
0077832-S,824
0077903-S,171
0077904-S,91
0077905-S,51
0077913-X,249
0077914-X,152
0077915-S,81
0077952-X,234
0077955-X,104
0077963-X,1060
0077964-X,977
0077983-X,296
0077990-X,228
0078002-S,47
0078002-X,92
0078005-S,258
0078011-S,54
0078011-X,139
0078012-S,21
0078012-X,43
0078013-S,51
0078013-X,114
0078014-S,102
0078014-X,101
0078025-X,148
0078028-S,45
0078028-X,108
0078050-S,47
0078101-X,72
0078111-X,224
0078112-X,268
0078113-X,91
0078118-X,63
0078121-X,76
0078122-S,75
0078300-X,368
0078301-X,959
0078303-X,284
0078306-X,143
0078307-X,250
0078315-S,747
0078319-S,677
0078320-S,1563
0078336-S,180
0078338-S,368
0078343-S,1021
0078358-S,324
0078901-S,716
0078908-S,695
0078910-S,275
0078915-S,620
0078916-S,183
0078918-S,245
0078925-S,201
0078928-S,302
0078929-S,261
0078930-S,200
0078931-S,143
0078932-S,391
0078933-S,341
0079003-S,67
0079004-S,65
0079005-S,29
0079006-S,60
0079007-S,73
0079012-S,128
0079013-S,257
0079015-S,60
0079028-S,163
0079033-S,42
0079282-S,75
0079283-X,88
0079286-X,88
0081339-X,102
0082433-F,352
0082433-S,275
0083014-F,3290
0083014-S,2950
0083070-F,12
0083072-F,9
0083149-S,55
0083150-F,116
0083150-S,294
0083253-F,155
0083253-S,72
0083543-F,159
0084088-S,219
0084206-X,1
0084559-S,120
0084559-X,8
0084561-X,23
0084603-S,225
0084864-X,73
0084902-X,208
0085349-X,1202
0085363-X,2243
0085516-X,328
0085592-X,30
0085593-X,49
0085595-X,106
0085596-X,92
0085601-X,99
0085602-X,91
0085691-X,117
0085692-X,186
0085737-X,147
0085742-X,301
0085743-X,242
0085813-X,504
0086365-X,107
0086369-X,128
0086439-X,440
0086448-X,122
0086449-X,107
0086525-X,550
0086558-X,682
0086599-X,848
0086625-X,113
0086691-X,248
0086697-X,746
0086709-X,298
0086710-X,347
0086712-X,295
0086715-X,173
0086724-X,123
0086743-X,90
0086744-X,95
0087802-S,300
0100309-F,360
0100409-F,960
0110109-F,2450
0110151-F,2124
0110152-F,6500
0110309-F,11700
0110461-F,2736
0110509-F,2600
0110521-F,5148
0110531-F,16536
0110909-F,3535
0111025-F,1276
0111152-F,1092
0111153-F,1284
0111155-F,708
0111157-F,408
0111158-F,1296
0111159-F,300
0111160-F,1188
0111164-F,570
0111165-F,1342
0111166-F,420
0111167-F,276
0111169-F,924
0111547-F,642
0111553-F,684
0111555-F,780
0111569-F,3420
0111573-F,2700
0111574-F,2300
0111576-F,16400
0111591-F,270
0111602-F,1044
0111610-F,1140
0111615-F,1459
0111632-F,1224
0111634-F,978
0111643-F,2220
0111644-F,756
0111645-F,576
0111647-F,300
0111653-F,204
0111655-F,1340
0111921-F,1848
0111931-F,1600
0113101-F,4500
0113102-F,636
0113103-F,948
0113104-F,528
0113105-F,540
0113108-F,780
0113110-F,132
0113112-F,588
0113113-F,1116
0113116-F,816
0113119-F,524
0113121-F,576
0113123-F,1700
0113171-F,1332
0113181-F,9550
0113600-F,5325
0113698-F,5925
0121222-F,876
0121223-F,1368
0121421-F,1704
0123022-F,426
0123421-F,1596
0123431-F,2000
0124521-F,456
0126021-F,2004
0128800-F,27400
0129121-F,672
0130421-F,2340
0130431-F,1800
0131231-F,498
0140621-F,2232
0140622-F,3800
0140714-F,3400
0140741-F,948
0140744-F,900
0140746-F,468
0140755-F,450
0140757-F,1392
0140759-F,504
0142021-F,2484
0142031-F,700
0142121-F,1068
0142122-F,1300
0142521-F,1692
0142522-F,3500
0142814-F,6800
0150574-F,984
0150721-F,4104
0151615-F,1200
0151815-F,12350
0151835-F,4150
0152315-F,3300
0152316-F,14650
0153415-F,16400
0153515-F,3350
0153615-F,7500
0153715-F,7250
0160316-F,2600
0160716-F,775
0160816-F,1150
0172421-F,588
0201320-F,6325
0201322-F,5175
0210032-F,2208
0210045-F,1320
0210050-F,372
0210102-F,1608
0210126-F,1188
0210130-F,1332
0210131-F,228
0210137-F,696
0210138-F,1872
0210139-F,2040
0210142-F,2520
0210144-F,1872
0210146-F,588
0210158-F,1524
0210159-F,1056
0210160-F,1152
0210161-F,1596
0210162-F,2292
0210163-F,2100
0210221-F,1800
0211025-F,756
0211027-F,828
0211046-F,1824
0211052-F,2880
0211060-F,2448
0211082-F,3720
0211402-F,1608
0211503-F,672
0211504-F,1356
0211805-F,900
0211807-F,1524
0211808-F,1116
0212302-F,588
0213099-F,1308
0215052-F,2136
0215352-F,918
0215393-F,672
0215462-F,1008
0215465-F,552
0215467-F,2904
0215468-F,1488
0215522-F,2150
0215530-F,396
0220222-F,102
0220322-F,159
0220804-F,4068
0221302-F,1716
0221502-F,1656
0230224-F,1062
0230323-F,2046
0230423-F,894
0230750-F,2880
0232121-F,828
0232702-F,1260
0232704-F,2328
0232709-F,1848
0232723-F,588
0232735-F,1428
0232771-F,660
0232775-F,516
0232779-F,7050
0232783-F,252
0232789-F,1104
0232796-F,828
0232798-F,1944
0232800-F,1176
0232801-F,252
0232803-F,876
0232806-F,2520
0232808-F,876
0232810-F,1368
0232815-F,996
0232822-F,2220
0232825-F,792
0232831-F,1044
0236502-F,1775
0240624-F,258
0240724-F,210
0240735-F,261
0241544-F,528
0241546-F,2292
0241549-F,1392
0241550-F,1644
0241555-F,1380
0241557-F,1596
0241558-F,1044
0241559-F,1752
0241561-F,1308
0241702-F,228
0241760-F,1272
0241764-F,1536
0242402-F,4872
0242412-F,6020
0242925-F,4775
0242927-F,936
0243602-F,528
0243802-F,2556
0243902-F,4620
0244102-F,3504
0244202-F,4140
0244502-F,11400
0244602-F,2136
0244802-F,2604
0244902-F,2268
0251125-F,8475
0251702-F,2892
0251913-F,2280
0252125-F,9200
0253202-F,3336
0254200-F,2375
0254202-F,1200
0254450-F,828
0260202-F,1460
0260905-F,1152
0261402-F,5316
0270127-F,3475
0270157-F,438
0270227-F,9800
0270527-F,438
0270727-F,4525
0280402-F,504
0290504-F,984
0301003-F,1440
0302003-F,1032
0303003-F,11800
0307003-F,384
0310531-F,4100
0310831-F,4775
0310833-F,3300
0311003-F,66
0311023-F,120
0311034-F,138
0311431-F,1075
0312003-F,1281
0312004-F,576
0312005-F,435
0312006-F,750
0316005-F,72
0319007-F,552
0319008-F,750
0320003-F,5700
0320222-F,3984
0320224-F,744
0320234-F,1038
0320236-F,1026
0320332-F,1266
0320532-F,792
0320832-F,774
0321003-F,243
0322237-F,2064
0329003-F,5200
0330003-F,234
0330014-F,453
0331003-F,5175
0331440-F,3120
0339003-F,13250
0340434-F,8450
0370137-F,6564
0381070-S,117
0381072-S,222
0381073-S,135
0381076-S,279
0381078-S,60
0381375-S,246
0381378-F,2811
0381378-S,1887
0381383-S,225
0381401-S,1325
0381420-F,492
0381422-F,423
0381429-F,126
0381437-F,156
0381438-F,318
0381449-S,120
0381459-S,339
0381478-F,342
0381478-S,213
0381480-F,576
0381480-S,222
0381488-S,903
0381491-S,186
0381560-S,114
0381561-S,180
0381562-S,150
0390339-F,11000
0390470-F,2400
0390474-F,1425
0391739-F,1650
0392039-F,6550
0392342-F,1000
0392444-F,2150
0440144-F,1600
0460540-F,1975
0460542-F,20050
0503005-F,5400
0505005-F,525
0900990-F,150
0901590-F,75
0910091-F,2150
0910891-F,4325
0911191-F,3800
0911193-F,1500
0911990-F,4050
0911991-F,5500
0920550-F,1250
0920550-S,1150
0920555-F,2976
0920555-S,3312
0920613-S,1464
0920620-S,1044
0930594-F,156
0930693-F,858
0940194-F,756
0970100-F,35500
0970151-F,14175
0970205-F,2800
0970210-F,2900
0970211-F,3150
0970212-F,3750
0971032-F,2130
0971712-F,1068
0971810-F,17050
0972100-F,17500
0972200-F,4150
0972212-F,1475
0977198-F,3550
0977199-F,5325
0977201-F,12150
0977209-F,1425
0977242-F,7250
0977322-F,3800
0977331-F,2950
0981298-A,7
0982498-A,56
0984200-F,800
0984204-F,2400
0984204-S,1900
0984206-F,2375
0984206-S,1925
0984306-F,6450
0984307-F,7500
0984310-F,76639
0984311-F,39584
0984314-F,6800
0984340-F,3800
0984798-A,43
0986298-A,553
3032856-X,154
3038170-X,38
3038171-S,397
3045988-S,423
3045989-S,56
3074303-F,101
3078301-X,101
3130692-S,238
3136992-S,241
3178050-S,148
3178113-S,153
3178114-S,218
3323330-S,16
3323984-S,19
3328580-S,8
3330029-S,33
3330030-S,5
3332950-S,9
3333245-S,9
3333247-S,21
3334314-S,15
3337175-S,9
3337176-S,13
3338650-S,10
84610EA-S,228
84760BU-X,123
84760NP-X,72
84764BU-X,99
84764NP-X,96
84854BU-X,392
84854NP-X,1610
85310BU-X,499
85310NP-X,496
85328BU-X,793
85328NP-X,1154
85391BU-X,596
85391NP-X,584
85506BU-X,147
85506NP-X,947
85510BU-X,245
85510NP-X,349
85587BU-X,244
85587NP-X,902
85590BU-X,171
85590NP-X,89
85591BU-X,187
85591NP-X,175
85609BU-X,189
85609NP-X,293
85642BU-X,197
85642NP-X,596
85669BU-X,902
85669NP-X,1361
85681BU-X,344
85681NP-X,348
85760BU-X,146
85760NP-X,147
85788BU-X,443
85788NP-X,123
85795BU-X,297
85795NP-X,804
85805BU-X,194
85805NP-X,724
85809BU-X,154
85809NP-X,348
85813EA-X,229
85846BU-X,194
85846NP-X,280
85852BU-X,146
85852NP-X,349
85865BU-X,297
85865NP-X,395
85877BU-X,98
85877NP-X,964
85882BU-X,345
85882NP-X,757
85887BU-X,147
85887NP-X,630
85893BU-X,1486
85893NP-X,629
85897BU-X,241
85897NP-X,346
86345BU-X,316
86345NP-X,814
86412BU-X,734
86412NP-X,832
86439BU-X,271
86444BU-X,149
86444NP-X,119
86552BU-X,247
86552NP-X,288
86575BU-X,292
86575NP-X,787
86648BU-X,439
86648NP-X,252
86653BU-X,397
86653NP-X,395
86754BU-X,1224
86754NP-X,624
86755BU-X,224
86755NP-X,861
86758BU-X,213
86758NP-X,638
86759BU-X,177
86759NP-X,176
86760NP-X,225
86762BU-X,448
86762NP-X,3256
86764BU-X,73
86764NP-X,223
86766BU-X,197
86766NP-X,198
86767BU-X,198
86767NP-X,1569
86769BU-X,248
86769NP-X,642
86770BU-X,368
86770NP-X,320
86780BU-X,296
86780NP-X,812
86781BU-X,224
86781NP-X,171
86782NP-X,9
86783BU-X,48
86783NP-X,235
86784BU-X,272
86784NP-X,695
86793BU-X,148
86793NP-X,286
86798BU-X,145
86798NP-X,244
86799BU-X,194
86799NP-X,495
86800BU-X,328
86800NP-X,1394
86801BU-X,248
86801NP-X,768
86803BU-X,173
86803NP-X,322
86804BU-X,227
86804NP-X,223
86805BU-X,88
86805NP-X,274
86807BU-X,114
86807NP-X,326
86809BU-X,337
86809NP-X,438
86810BU-X,95
C057852-A,234
C059053-A,148
C059195-A,153
C158991-A,228
C159313-A,216
C258991-A,225
C357852-A,97
C358991-A,217
C457852-A,101
L058141-A,2134
PT10156-A,22
